brazo,modelo,base,semilla,timeloss_prom,espera_prom,cola_prom,cola_max,paradas_prom,throughput,co2_prom,nox_prom,recompensa_decision,cambios_fase,no_terminados,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,ret_retraso,ret_colas,ret_spill,vehiculos,recompensa,decisiones
actuado,actuado,,1001,114.54,68.08,45.27,139,2.749,2879,374.3,132.5,-27.741,260,0,254.19,171.36,188.22,4.093,0.361,0.0178,64,6,38,38,-463560.1,-306254.5,-477378.1,3620,-60918.8,2196
actuado,actuado,,1002,123.92,73.77,48.97,140,2.888,2846,388.4,137.7,-29.612,256,0,257.13,174.31,190.46,4.109,0.323,0.0117,42,5,38,38,-497232.4,-327232.6,-512028.4,3620,-65087.4,2198
actuado,actuado,,1003,126.89,77.57,51.41,163,2.974,2847,394.0,140.0,-31.312,258,0,259.06,176.17,191.25,4.164,0.276,0.0208,75,5,38,38,-514207.1,-346223.1,-529927.1,3620,-68887.4,2200
actuado,actuado,,1004,118.66,71.37,47.13,144,2.804,2857,380.7,134.9,-29.224,265,0,258.67,175.7,193.1,4.119,0.308,0.0125,45,4,38,38,-485522.6,-324786.6,-499790.6,3620,-64584.4,2210
actuado,actuado,,1005,120.06,71.29,47.89,141,2.855,2888,382.7,135.5,-28.931,254,0,256.84,173.78,188.52,4.111,0.272,0.0186,67,5,38,38,-481126.8,-316064.5,-497594.8,3620,-62837.1,2172
actuado,actuado,,1006,128.45,79.8,52.68,169,2.998,2821,396.1,141.1,-32.91,260,0,259.8,177.0,194.5,4.266,0.259,0.0428,154,12,38,38,-531066.1,-365139.1,-549088.1,3620,-72665.3,2208
actuado,actuado,,1007,128.41,78.55,51.41,171,3.001,2821,394.7,140.5,-32.132,270,0,259.89,176.95,193.11,4.261,0.297,0.0294,106,10,38,38,-529059.1,-359628.1,-546041.1,3620,-71591.1,2228
actuado,actuado,,1008,118.1,72.5,47.94,140,2.731,2860,380.1,134.8,-29.345,265,0,257.76,174.74,192.37,3.996,0.284,0.0172,62,8,38,38,-479970.2,-325744.5,-495024.2,3620,-64794.0,2208
actuado,actuado,,1009,121.42,72.85,48.14,139,2.914,2857,384.6,136.3,-29.645,262,0,261.24,178.21,195.51,4.279,0.273,0.0111,40,6,38,38,-493441.8,-328929.6,-509571.8,3620,-65455.4,2208
actuado,actuado,,1010,129.22,82.41,54.88,171,2.796,2841,397.1,141.5,-35.18,264,0,251.7,168.93,182.83,3.682,0.335,0.0381,137,12,38,38,-545065.6,-386876.0,-564075.6,3620,-77044.2,2190
