brazo,modelo,base,semilla,timeloss_prom,espera_prom,cola_prom,cola_max,paradas_prom,throughput,co2_prom,nox_prom,recompensa_decision,cambios_fase,no_terminados,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,ret_retraso,ret_colas,ret_spill,vehiculos,recompensa,decisiones
fijo,fijo,,1001,152.35,61.47,43.83,103,6.225,2931,430.2,150.5,-23.482,446,0,264.54,181.71,190.18,7.998,0.156,0.0,0,0,24,37,-560874.0,-243139.6,-561232.0,3620,-48232.3,2054
fijo,fijo,,1002,158.04,65.13,45.86,113,6.457,2902,438.4,153.8,-24.634,451,0,271.65,188.85,199.16,8.359,0.159,0.0,0,0,25,37,-582471.0,-257592.2,-582949.0,3620,-51189.7,2078
fijo,fijo,,1003,155.18,63.5,45.43,105,6.311,2932,434.2,152.1,-24.383,444,0,266.79,183.88,193.48,8.122,0.156,0.0,0,0,24,37,-571711.9,-251210.7,-572157.9,3620,-49887.3,2046
fijo,fijo,,1004,151.68,61.78,43.92,103,6.192,2934,429.6,150.3,-23.555,448,0,261.74,178.77,186.56,7.958,0.159,0.0,0,0,24,37,-558807.6,-244458.6,-559039.6,3620,-48523.1,2060
fijo,fijo,,1005,152.01,61.56,43.79,111,6.267,2921,429.5,150.3,-23.475,447,0,263.66,180.6,187.56,8.1,0.156,0.0,0,0,23,37,-559363.8,-243445.3,-559599.8,3620,-48358.6,2060
fijo,fijo,,1006,158.32,64.98,46.06,105,6.469,2918,439.3,154.0,-24.735,448,0,270.84,188.04,199.13,8.319,0.163,0.0,0,0,25,37,-583688.7,-257021.3,-584190.7,3620,-51053.2,2064
fijo,fijo,,1007,148.88,59.73,42.82,93,6.053,2933,425.1,148.5,-22.93,444,0,258.0,175.06,181.02,7.708,0.156,0.0,0,0,22,37,-547625.0,-236184.6,-547687.0,3620,-46868.0,2044
fijo,fijo,,1008,153.09,61.88,43.89,108,6.276,2917,431.2,150.9,-23.545,448,0,265.24,182.21,190.26,8.08,0.162,0.0,0,0,23,37,-563453.9,-244596.9,-563721.9,3620,-48596.0,2064
fijo,fijo,,1009,156.25,63.94,45.4,109,6.434,2918,435.8,152.7,-24.356,448,0,270.91,187.89,199.3,8.372,0.161,0.0,0,0,24,37,-575548.8,-252827.9,-576026.8,3620,-50222.8,2062
fijo,fijo,,1010,153.01,61.96,44.38,109,6.257,2925,431.0,150.8,-23.804,444,0,263.31,180.54,187.47,8.01,0.162,0.0,0,0,24,37,-563203.8,-244965.6,-563495.8,3620,-48654.5,2044
fijo,fijo,,1011,157.02,64.25,45.55,111,6.487,2919,436.9,153.1,-24.461,448,0,270.82,187.89,199.14,8.402,0.159,0.0,0,0,24,37,-578918.3,-254045.8,-579432.3,3620,-50487.4,2064
fijo,fijo,,1012,156.33,64.02,45.53,94,6.403,2924,435.8,152.8,-24.431,446,0,268.6,185.94,196.27,8.236,0.164,0.0,0,0,24,37,-576187.3,-253168.2,-576679.3,3620,-50278.8,2058
fijo,fijo,,1013,163.88,68.72,47.95,103,6.717,2884,447.1,157.1,-25.81,454,0,277.53,194.49,207.17,8.638,0.157,0.0,0,0,24,37,-605263.9,-271980.1,-605895.9,3620,-54097.5,2096
fijo,fijo,,1014,157.64,65.17,46.24,100,6.474,2929,438.5,153.7,-24.883,448,0,269.99,187.16,199.42,8.319,0.159,0.0,0,0,23,37,-580685.9,-257798.6,-580979.9,3620,-51308.3,2062
fijo,fijo,,1015,156.68,63.29,44.74,94,6.41,2906,435.9,152.6,-24.027,450,0,268.6,185.48,193.57,8.229,0.158,0.0,0,0,23,37,-576698.2,-250153.4,-577062.2,3620,-49783.4,2072
fijo,fijo,,1016,154.44,63.37,45.08,94,6.352,2933,433.6,151.9,-24.161,446,0,266.3,183.38,193.15,8.172,0.156,0.0,0,0,24,37,-569256.6,-250507.9,-569552.6,3620,-49723.3,2058
fijo,fijo,,1017,154.49,63.31,45.06,94,6.394,2937,433.7,151.9,-24.193,446,0,266.5,183.54,193.34,8.27,0.16,0.0,0,0,25,37,-569248.4,-250219.0,-569720.4,3620,-49741.4,2056
fijo,fijo,,1018,153.8,63.03,44.94,108,6.279,2930,432.5,151.6,-24.117,446,0,266.14,183.25,192.53,8.141,0.158,0.0,0,0,24,37,-566943.4,-249354.2,-567345.4,3620,-49536.7,2054
fijo,fijo,,1019,158.3,65.11,46.22,110,6.515,2907,439.4,154.2,-24.807,448,0,270.2,187.23,196.9,8.322,0.158,0.0,0,0,23,37,-583410.0,-257474.8,-583696.0,3620,-51152.5,2062
fijo,fijo,,1020,154.26,62.95,45.06,108,6.29,2930,433.3,151.8,-24.205,444,0,265.19,182.23,189.9,8.093,0.158,0.0,0,0,23,37,-568272.3,-248918.3,-568566.3,3620,-49523.0,2046
