brazo,semilla,timeloss_prom,espera_prom,cola_prom,cola_max,paradas_prom,throughput,co2_prom,nox_prom,recompensa_decision,cambios_fase,no_terminados,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace
fijo,1001,22.91,9.44,5.19,17,0.677,1801,195.5,67.1,-5.599,132,,,,,,,,,,,
fijo,1002,23.57,9.81,5.42,19,0.69,1800,196.8,67.6,-5.86,131,,,,,,,,,,,
fijo,1003,23.42,9.94,5.48,19,0.689,1804,196.4,67.5,-5.93,131,,,,,,,,,,,
fijo,1004,22.83,9.44,5.23,17,0.671,1801,195.1,67.0,-5.648,131,,,,,,,,,,,
fijo,1005,22.71,9.25,5.13,17,0.662,1802,195.2,67.0,-5.551,131,,,,,,,,,,,
fijo,1006,23.39,9.86,5.4,18,0.697,1801,196.6,67.5,-5.864,132,,,,,,,,,,,
fijo,1007,23.5,9.81,5.42,19,0.676,1802,196.7,67.5,-5.843,131,,,,,,,,,,,
fijo,1008,23.62,9.95,5.49,19,0.692,1805,197.1,67.7,-5.939,131,,,,,,,,,,,
fijo,1009,23.18,9.27,5.11,18,0.675,1804,196.5,67.4,-5.501,132,,,,,,,,,,,
fijo,1010,22.81,9.57,5.26,17,0.678,1800,195.2,67.1,-5.69,132,,,,,,,,,,,
actuado,1001,15.63,3.87,2.44,12,0.501,1808,181.0,61.9,-2.541,202,,,,,,,,,,,
actuado,1002,15.49,3.72,2.37,11,0.492,1807,180.8,61.8,-2.446,209,,,,,,,,,,,
actuado,1003,15.23,3.74,2.38,10,0.5,1805,179.9,61.5,-2.45,204,,,,,,,,,,,
actuado,1004,15.33,3.88,2.45,12,0.496,1808,179.9,61.6,-2.529,202,,,,,,,,,,,
actuado,1005,15.6,3.83,2.42,11,0.491,1809,180.8,61.8,-2.505,200,,,,,,,,,,,
actuado,1006,15.34,3.78,2.4,12,0.489,1808,180.5,61.7,-2.491,206,,,,,,,,,,,
actuado,1007,15.45,3.75,2.37,14,0.476,1807,180.4,61.7,-2.448,202,,,,,,,,,,,
actuado,1008,15.25,3.66,2.34,11,0.471,1807,180.2,61.6,-2.409,201,,,,,,,,,,,
actuado,1009,16.02,3.87,2.43,11,0.509,1809,182.0,62.1,-2.476,204,,,,,,,,,,,
actuado,1010,15.21,3.8,2.39,11,0.49,1807,179.9,61.5,-2.485,200,,,,,,,,,,,
rl,1001,19.84,6.1,3.56,17,0.758,1812,189.8,64.8,-3.661,221,,,,,,,,,,,
rl,1002,22.18,7.41,4.22,19,0.899,1803,193.7,66.2,-4.408,235,,,,,,,,,,,
rl,1003,22.34,7.57,4.28,19,0.918,1798,194.6,66.5,-4.469,239,,,,,,,,,,,
rl,1004,22.54,7.56,4.27,17,0.907,1801,194.9,66.6,-4.451,235,,,,,,,,,,,
rl,1005,20.64,6.6,3.8,18,0.806,1806,190.7,65.1,-3.96,229,,,,,,,,,,,
rl,1006,21.35,6.87,3.93,19,0.848,1802,193.2,66.0,-4.065,233,,,,,,,,,,,
rl,1007,21.59,7.08,4.05,19,0.863,1802,193.0,65.9,-4.213,235,,,,,,,,,,,
rl,1008,21.52,7.13,4.06,18,0.862,1802,192.6,65.8,-4.235,229,,,,,,,,,,,
rl,1009,24.8,8.53,4.72,20,1.017,1797,198.5,67.8,-4.917,236,,,,,,,,,,,
rl,1010,20.37,6.51,3.77,18,0.796,1804,190.3,65.0,-3.882,235,,,,,,,,,,,
ippo_local,1001,15.21,4.45,2.73,11,0.417,1810,177.9,61.0,-2.915,151,0,,,,,,0.0,0,0,0,0
ippo_local,1002,15.18,4.41,2.72,10,0.416,1807,178.1,61.1,-2.893,153,0,,,,,,0.0,0,0,0,0
ippo_local,1003,14.86,4.26,2.63,11,0.414,1809,177.5,60.9,-2.8,155,0,,,,,,0.0,0,0,0,0
ippo_local,1004,14.73,4.14,2.58,10,0.415,1807,177.3,60.8,-2.741,159,0,,,,,,0.0,0,0,0,0
ippo_local,1005,14.94,4.2,2.6,9,0.4,1810,177.4,60.8,-2.771,153,0,,,,,,0.0,0,0,0,0
ippo_local,1006,14.81,4.22,2.62,10,0.401,1809,177.1,60.8,-2.765,154,0,,,,,,0.0,0,0,0,0
ippo_local,1007,15.33,4.49,2.75,13,0.421,1807,178.1,61.1,-2.952,151,0,,,,,,0.0,0,0,0,0
ippo_local,1008,14.81,4.16,2.58,10,0.401,1810,177.5,60.9,-2.746,155,0,,,,,,0.0,0,0,0,0
ippo_local,1009,15.66,4.51,2.76,11,0.422,1808,179.1,61.4,-2.949,154,0,,,,,,0.0,0,0,0,0
ippo_local,1010,14.98,4.35,2.68,10,0.425,1806,177.7,61.0,-2.84,154,0,,,,,,0.0,0,0,0,0
